2021-01-15 14:40:55.291825 158 141
2021-01-15 14:40:55.947771 178 142
2021-01-15 14:40:56.622765 156 143
2021-01-15 14:40:57.278855 171 144
2021-01-15 14:40:57.954753 163 145
2021-01-15 14:40:58.609708 182 146
2021-01-15 14:40:59.285705 159 147
2021-01-15 14:40:59.940699 174 148
2021-01-15 14:41:00.616683 163 149
2021-01-15 14:41:00.730727 227 150
2021-01-15 14:41:01.267750 210 151
2021-01-15 14:41:01.943766 191 152
2021-01-15 14:41:02.598769 208 153
2021-01-15 14:41:03.274766 192 154
2021-01-15 14:41:03.929730 209 155
2021-01-15 14:41:04.605696 191 156
2021-01-15 14:41:05.260658 207 157
2021-01-15 14:41:05.936678 187 158
2021-01-15 14:41:06.051678 220 159
2021-01-15 14:41:06.600652 129 160
2021-01-15 14:41:07.263720 229 161
2021-01-15 14:41:07.931681 125 162
2021-01-15 14:41:08.607609 119 163
2021-01-15 14:41:09.262636 124 164
2021-01-15 14:41:09.925754 213 165
2021-01-15 14:41:10.581635 218 166
2021-01-15 14:41:11.256661 221 167
2021-01-15 14:41:11.912646 228 168
2021-01-15 14:41:12.588684 215 169
2021-01-15 14:41:12.702691 218 170
2021-01-15 14:41:13.251657 135 171
2021-01-15 14:41:13.927728 125 172
2021-01-15 14:41:14.582608 129 173
2021-01-15 14:41:15.258609 123 174
2021-01-15 14:41:15.909640 144 175
2021-01-15 14:41:16.024629 223 176
2021-01-15 14:41:16.151686 229 177
2021-01-15 14:41:16.581580 178 178
2021-01-15 14:41:16.696591 186 179
2021-01-15 14:41:17.232681 201 180
2021-01-15 14:41:17.355583 217 181
2021-01-15 14:41:17.916619 124 182
2021-01-15 14:41:18.047624 229 183
2021-01-15 14:41:18.641620 41 184
2021-01-15 14:41:18.956543 226 185
2021-01-15 14:41:19.239672 179 186
2021-01-15 14:41:19.354724 127 187
2021-01-15 14:41:19.563668 229 188
2021-01-15 14:41:19.776701 228 189
2021-01-15 14:41:19.898590 145 190
2021-01-15 14:41:20.206514 226 191
2021-01-15 14:41:20.570647 158 192
2021-01-15 14:41:20.685668 188 193
2021-01-15 14:41:21.025661 229 194
2021-01-15 14:41:21.230623 130 195
2021-01-15 14:41:21.456413 224 196
2021-01-15 14:41:21.873556 227 197
2021-01-15 14:41:21.987505 42 198
2021-01-15 14:41:22.503524 228 199
2021-01-15 14:41:22.618590 44 200
2021-01-15 14:41:22.929602 226 201
2021-01-15 14:41:23.142692 225 202
2021-01-15 14:41:23.257599 63 203
2021-01-15 14:41:23.753594 228 204
2021-01-15 14:41:23.884590 158 205
2021-01-15 14:41:23.998638 185 206
2021-01-15 14:41:24.158482 229 207
2021-01-15 14:41:24.371486 228 208
